"year","survey_order","survey_number","date","plot","species","alpha_code","count"
2020,1,1,"2020/05/29",1,"Lark Sparrow","LASP",2
2020,1,1,"2020/05/29",1,"Spotted Towhee","SPTO",1
2020,1,1,"2020/05/29",2,"Black-capped Chickadee","BCCH",1
2020,1,1,"2020/05/29",2,"Brown-headed Cowbird","BHCO",1
2020,1,1,"2020/05/29",2,"Broad-tailed Hummingbird","BTHU",1
2020,1,1,"2020/05/29",2,"Yellow-breasted Chat","YBCH",1
2020,1,1,"2020/05/29",3,"Barn Swallow","BARS",1
2020,1,1,"2020/05/29",3,"Lark Sparrow","LASP",1
2020,1,1,"2020/05/29",3,"Western Meadowlark","WEME",2
2020,1,1,"2020/05/29",3,"Yellow-breasted Chat","YBCH",1
2020,1,1,"2020/05/29",4,"Broad-tailed Hummingbird","BTHU",1
2020,1,1,"2020/05/29",4,"Lazuli Bunting","LAZB",1
2020,1,1,"2020/05/29",4,"Western Meadowlark","WEME",1
2020,1,1,"2020/05/29",5,"Gray Catbird","GRCA",1
2020,1,1,"2020/05/29",5,"Lark Sparrow","LASP",2
2020,1,1,"2020/05/29",5,"Mourning Dove","MODO",1
2020,1,1,"2020/05/29",6,"Black-billed Magpie","BBMA",1
2020,1,1,"2020/05/29",6,"Lark Sparrow","LASP",1
2020,1,1,"2020/05/29",6,"Spotted Towhee","SPTO",1
2020,1,1,"2020/05/29",6,"Western Meadowlark","WEME",1
2020,1,1,"2020/05/29",7,"Broad-tailed Hummingbird","BTHU",1
2020,1,1,"2020/05/29",7,"Spotted Towhee","SPTO",1
2020,1,1,"2020/05/29",7,"Passerine species",NA,1
2020,2,2,"2020/06/16",1,"Brown Thrasher","BRTH",1
2020,2,2,"2020/06/16",1,"Bullock's Oriole","BUOR",1
2020,2,2,"2020/06/16",2,"Lark Sparrow","LASP",2
2020,2,2,"2020/06/16",2,"Western Meadowlark","WEME",2
2020,2,2,"2020/06/16",2,"Yellow-breasted Chat","YBCH",1
2020,2,2,"2020/06/16",3,"Lark Sparrow","LASP",1
2020,2,2,"2020/06/16",3,"Lesser Goldfinch","LEGO",1
2020,2,2,"2020/06/16",4,"Black-billed Magpie","BBMA",1
2020,2,2,"2020/06/16",4,"Blue Jay","BLJA",1
2020,2,2,"2020/06/16",4,"Broad-tailed Hummingbird","BTHU",1
2020,2,2,"2020/06/16",4,"Lazuli Bunting","LAZB",1
2020,2,2,"2020/06/16",4,"Spotted Towhee","SPTO",2
2020,2,2,"2020/06/16",5,"American Goldfinch","AGOL",1
2020,2,2,"2020/06/16",5,"Cliff Swallow","CLSW",1
2020,2,2,"2020/06/16",5,"Lark Sparrow","LASP",3
2020,2,2,"2020/06/16",6,"American Goldfinch","AGOL",1
2020,2,2,"2020/06/16",6,"Barn Swallow","BARS",1
2020,2,2,"2020/06/16",6,"Blue Grosbeak","BLGR",1
2020,2,2,"2020/06/16",6,"Cliff Swallow","CLSW",1
2020,2,2,"2020/06/16",6,"Lark Sparrow","LASP",3
2020,2,2,"2020/06/16",6,"Lazuli Bunting","LAZB",1
2020,2,2,"2020/06/16",6,"Spotted Towhee","SPTO",1
2020,2,2,"2020/06/16",7,"Lark Sparrow","LASP",2
2020,2,2,"2020/06/16",7,"Spotted Towhee","SPTO",2
2020,2,2,"2020/06/16",8,"Plumbeous Vireo","PLVI",1
2020,2,2,"2020/06/16",8,"Spotted Towhee","SPTO",3
2020,2,2,"2020/06/16",8,"White-breasted Nuthatch","WBNU",1
2020,3,3,"2020/06/30",1,"American Robin","AMRO",1
2020,3,3,"2020/06/30",1,"Lark Sparrow","LASP",1
2020,3,3,"2020/06/30",1,"Western Meadowlark","WEME",1
2020,3,3,"2020/06/30",2,"Black-billed Magpie","BBMA",1
2020,3,3,"2020/06/30",2,"Broad-tailed Hummingbird","BTHU",1
2020,3,3,"2020/06/30",2,"Mourning Dove","MODO",1
2020,3,3,"2020/06/30",2,"Spotted Towhee","SPTO",1
2020,3,3,"2020/06/30",2,"Yellow-breasted Chat","YBCH",2
2020,3,3,"2020/06/30",3,"Broad-tailed Hummingbird","BTHU",1
2020,3,3,"2020/06/30",4,"Broad-tailed Hummingbird","BTHU",1
2020,3,3,"2020/06/30",4,"Lark Sparrow","LASP",2
2020,3,3,"2020/06/30",4,"Lazuli Bunting","LAZB",1
2020,3,3,"2020/06/30",4,"Rock Wren","ROWR",1
2020,3,3,"2020/06/30",5,"American Robin","AMRO",1
2020,3,3,"2020/06/30",5,"Lark Sparrow","LASP",2
2020,3,3,"2020/06/30",5,"Spotted Towhee","SPTO",1
2020,3,3,"2020/06/30",5,"Yellow-breasted Chat","YBCH",1
2020,3,3,"2020/06/30",6,"Cliff Swallow","CLSW",1
2020,3,3,"2020/06/30",6,"Lark Sparrow","LASP",1
2020,3,3,"2020/06/30",6,"Western Meadowlark","WEME",1
2020,3,3,"2020/06/30",7,"Cliff Swallow","CLSW",1
2020,3,3,"2020/06/30",7,"Lark Sparrow","LASP",3
2020,3,3,"2020/06/30",7,"Spotted Towhee","SPTO",2
2020,3,3,"2020/06/30",8,"Lark Sparrow","LASP",2
2020,3,3,"2020/06/30",8,"Lazuli Bunting","LAZB",1
2020,3,3,"2020/06/30",8,"Spotted Towhee","SPTO",3
2020,3,3,"2020/06/30",8,"Western Wood-Pewee","WEWP",1
2020,4,4,"2020/07/08",1,"American Goldfinch","AGOL",1
2020,4,4,"2020/07/08",1,"Lark Sparrow","LASP",1
2020,4,4,"2020/07/08",1,"Spotted Towhee","SPTO",1
2020,4,4,"2020/07/08",2,"American Robin","AMRO",1
2020,4,4,"2020/07/08",2,"Broad-tailed Hummingbird","BTHU",1
2020,4,4,"2020/07/08",2,"Bullock's Oriole","BUOR",1
2020,4,4,"2020/07/08",2,"Lark Sparrow","LASP",1
2020,4,4,"2020/07/08",2,"Lazuli Bunting","LAZB",1
2020,4,4,"2020/07/08",2,"Mourning Dove","MODO",1
2020,4,4,"2020/07/08",2,"Spotted Towhee","SPTO",1
2020,4,4,"2020/07/08",2,"Yellow-breasted Chat","YBCH",1
2020,4,4,"2020/07/08",3,"Lark Sparrow","LASP",5
2020,4,4,"2020/07/08",4,"American Robin","AMRO",1
2020,4,4,"2020/07/08",4,"Lazuli Bunting","LAZB",1
2020,4,4,"2020/07/08",4,"Western Meadowlark","WEME",1
2020,4,4,"2020/07/08",5,"American Robin","AMRO",1
2020,4,4,"2020/07/08",5,"European Starling","EUST",1
2020,4,4,"2020/07/08",5,"Northern Flicker","NOFL",3
2020,4,4,"2020/07/08",5,"Western Meadowlark","WEME",5
2020,4,4,"2020/07/08",6,"Black-billed Magpie","BBMA",5
2020,4,4,"2020/07/08",6,"Lark Sparrow","LASP",3
2020,4,4,"2020/07/08",6,"Western Meadowlark","WEME",2
2020,4,4,"2020/07/08",7,"Broad-tailed Hummingbird","BTHU",1
2020,4,4,"2020/07/08",7,"Spotted Towhee","SPTO",2
2020,4,4,"2020/07/08",7,"Passerine species",NA,1
2020,4,4,"2020/07/08",8,"Broad-tailed Hummingbird","BTHU",1
2020,4,4,"2020/07/08",8,"Lark Sparrow","LASP",3
2020,4,4,"2020/07/08",8,"Lazuli Bunting","LAZB",1
2021,1,5,"2021/05/29",1,"Black-billed Magpie","BBMA",1
2021,1,5,"2021/05/29",2,"Broad-tailed Hummingbird","BTHU",1
2021,1,5,"2021/05/29",2,"Yellow-breasted Chat","YBCH",1
2021,1,5,"2021/05/29",3,"Lazuli Bunting","LAZB",1
2021,1,5,"2021/05/29",4,"Lark Sparrow","LASP",2
2021,1,5,"2021/05/29",5,"Western Kingbird","WEKI",2
2021,1,5,"2021/05/29",6,"Spotted Towhee","SPTO",1
2021,1,5,"2021/05/29",7,"Lark Sparrow","LASP",1
