"year","survey_order","survey_number","date","time","plot","species","count","exact_id","informative_id","group_name"
2020,1,1,"05/31/2020",945,1,"Clouded Sulphur",3,1,1,"Sulphur species"
2020,1,1,"05/31/2020",936,2,"Checkered White",1,1,1,"White species"
2020,1,1,"05/31/2020",936,2,"Elfin species",2,0,1,NA
2020,1,1,"05/31/2020",936,2,"Orange Sulphur",2,1,1,"Sulphur species"
2020,1,1,"05/31/2020",936,2,"Red Admiral",1,1,1,NA
2020,1,1,"05/31/2020",936,2,"Variegated Fritillary",5,1,1,NA
2020,1,1,"05/31/2020",927,3,"Checkered White",1,1,1,"White species"
2020,1,1,"05/31/2020",927,3,"Milbert's Tortoiseshell",2,1,1,NA
2020,1,1,"05/31/2020",927,3,"Orange Sulphur",2,1,1,"Sulphur species"
2020,1,1,"05/31/2020",927,3,"Variegated Fritillary",2,1,1,NA
2020,1,1,"05/31/2020",938,4,"Common Ringlet",1,1,1,NA
2020,1,1,"05/31/2020",938,4,"Variegated Fritillary",1,1,1,NA
2020,1,1,"05/31/2020",938,4,"White species",1,0,1,NA
2020,1,1,"05/31/2020",826,5,"Checkered White",1,1,1,"White species"
2020,1,1,"05/31/2020",826,5,"Orange Sulphur",1,1,1,"Sulphur species"
2020,1,1,"05/31/2020",826,5,"Variegated Fritillary",1,1,1,NA
2020,1,1,"05/31/2020",817,6,"Variegated Fritillary",2,1,1,NA
2020,1,1,"05/31/2020",811,7,"Checkered White",1,1,1,"White species"
2020,1,1,"05/31/2020",811,7,"Two-Tailed Swallowtail",1,1,1,NA
2020,1,1,"05/31/2020",811,7,"Variegated Fritillary",1,1,1,NA
2020,1,1,"05/31/2020",800,8,"Checkered White",1,1,1,"White species"
2020,2,2,"06/16/2020",800,1,"Butterfly species",1,0,0,NA
2020,2,2,"06/16/2020",800,1,"Variegated Fritillary",9,1,1,NA
2020,2,2,"06/16/2020",800,1,"Western White",1,1,1,"White species"
2020,2,2,"06/16/2020",810,2,"Cabbage White",1,1,1,"White species"
2020,2,2,"06/16/2020",810,2,"Clouded Sulphur",1,1,1,"Sulphur species"
2020,2,2,"06/16/2020",810,2,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,2,2,"06/16/2020",810,2,"Orange Sulphur",2,1,1,"Sulphur species"
2020,2,2,"06/16/2020",810,2,"Variegated Fritillary",21,1,1,NA
2020,2,2,"06/16/2020",810,2,"Western White",3,1,1,"White species"
2020,2,2,"06/16/2020",820,3,"Clouded Sulphur",2,1,1,"Sulphur species"
2020,2,2,"06/16/2020",820,3,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,2,2,"06/16/2020",820,3,"Variegated Fritillary",16,1,1,NA
2020,2,2,"06/16/2020",820,3,"Western White",1,1,1,"White species"
2020,2,2,"06/16/2020",832,4,"Northwestern Fritillary",3,1,1,"Speyeria species"
2020,2,2,"06/16/2020",832,4,"Variegated Fritillary",33,1,1,NA
2020,2,2,"06/16/2020",905,5,"Arogos Skipper",1,1,1,NA
2020,2,2,"06/16/2020",905,5,"Northwestern Fritillary",1,1,1,"Speyeria species"
2020,2,2,"06/16/2020",905,5,"Orange Sulphur",1,1,1,"Sulphur species"
2020,2,2,"06/16/2020",905,5,"Silver-spotted Skipper",3,1,1,NA
2020,2,2,"06/16/2020",905,5,"Variegated Fritillary",17,1,1,NA
2020,2,2,"06/16/2020",905,5,"Western White",4,1,1,"White species"
2020,2,2,"06/16/2020",917,6,"Clouded Sulphur",1,1,1,"Sulphur species"
2020,2,2,"06/16/2020",917,6,"Northwestern Fritillary",1,1,1,"Speyeria species"
2020,2,2,"06/16/2020",917,6,"Variegated Fritillary",28,1,1,NA
2020,2,2,"06/16/2020",917,6,"Western White",2,1,1,"White species"
2020,2,2,"06/16/2020",942,7,"Taxiles Skipper",1,1,1,NA
2020,2,2,"06/16/2020",942,7,"Variegated Fritillary",22,1,1,NA
2020,2,2,"06/16/2020",942,7,"Western White",1,1,1,"White species"
2020,2,2,"06/16/2020",954,8,"Northwestern Fritillary",1,1,1,"Speyeria species"
2020,2,2,"06/16/2020",954,8,"Two-Tailed Swallowtail",1,1,1,NA
2020,2,2,"06/16/2020",954,8,"Variegated Fritillary",18,1,1,NA
2020,2,2,"06/16/2020",954,8,"Western Tiger Swallowtail",1,1,1,NA
2020,2,2,"06/16/2020",954,8,"Western White",1,1,1,"White species"
2020,3,3,"07/02/2020",900,1,"Clouded Sulphur",5,1,1,"Sulphur species"
2020,3,3,"07/02/2020",900,1,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,3,3,"07/02/2020",900,1,"Orange Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",900,1,"Variegated Fritillary",44,1,1,NA
2020,3,3,"07/02/2020",900,1,"Western White",6,1,1,"White species"
2020,3,3,"07/02/2020",910,2,"Arogos Skipper",2,1,1,NA
2020,3,3,"07/02/2020",910,2,"Cabbage White",1,1,1,"White species"
2020,3,3,"07/02/2020",910,2,"Checkered White",6,1,1,"White species"
2020,3,3,"07/02/2020",910,2,"Clouded Sulphur",4,1,1,"Sulphur species"
2020,3,3,"07/02/2020",910,2,"Common Wood-Nymph",2,1,1,NA
2020,3,3,"07/02/2020",910,2,"Green Skipper",1,1,1,NA
2020,3,3,"07/02/2020",910,2,"Northwestern Fritillary",5,1,1,"Speyeria species"
2020,3,3,"07/02/2020",910,2,"Orange Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",910,2,"Variegated Fritillary",70,1,1,NA
2020,3,3,"07/02/2020",920,3,"Cabbage White",1,1,1,"White species"
2020,3,3,"07/02/2020",920,3,"Checkered White",2,1,1,"White species"
2020,3,3,"07/02/2020",920,3,"Clouded Sulphur",3,1,1,"Sulphur species"
2020,3,3,"07/02/2020",920,3,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,3,3,"07/02/2020",920,3,"Orange Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",920,3,"Variegated Fritillary",30,1,1,NA
2020,3,3,"07/02/2020",935,4,"Checkered White",1,1,1,"White species"
2020,3,3,"07/02/2020",935,4,"Common Wood-Nymph",2,1,1,NA
2020,3,3,"07/02/2020",935,4,"Northwestern Fritillary",4,1,1,"Speyeria species"
2020,3,3,"07/02/2020",935,4,"Variegated Fritillary",14,1,1,NA
2020,3,3,"07/02/2020",935,4,"Western White",1,1,1,"White species"
2020,3,3,"07/02/2020",935,4,"White species",1,0,1,NA
2020,3,3,"07/02/2020",745,5,"Common Wood-Nymph",1,1,1,NA
2020,3,3,"07/02/2020",745,5,"Hackberry Emperor",1,1,1,NA
2020,3,3,"07/02/2020",745,5,"Northwestern Fritillary",3,1,1,"Speyeria species"
2020,3,3,"07/02/2020",745,5,"Orange Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",745,5,"Variegated Fritillary",26,1,1,NA
2020,3,3,"07/02/2020",745,5,"White species",5,0,1,NA
2020,3,3,"07/02/2020",800,6,"Arogos Skipper",1,1,1,NA
2020,3,3,"07/02/2020",800,6,"Checkered White",1,1,1,"White species"
2020,3,3,"07/02/2020",800,6,"Clouded Sulphur",5,1,1,"Sulphur species"
2020,3,3,"07/02/2020",800,6,"Common Wood-Nymph",1,1,1,NA
2020,3,3,"07/02/2020",800,6,"Hackberry Emperor",1,1,1,NA
2020,3,3,"07/02/2020",800,6,"Northwestern Fritillary",5,1,1,"Speyeria species"
2020,3,3,"07/02/2020",800,6,"Orange Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",800,6,"Variegated Fritillary",36,1,1,NA
2020,3,3,"07/02/2020",800,6,"Western White",1,1,1,"White species"
2020,3,3,"07/02/2020",820,7,"Checkered White",3,1,1,"White species"
2020,3,3,"07/02/2020",820,7,"Hackberry Emperor",1,1,1,NA
2020,3,3,"07/02/2020",820,7,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,3,3,"07/02/2020",820,7,"Two-Tailed Swallowtail",1,1,1,NA
2020,3,3,"07/02/2020",820,7,"Variegated Fritillary",5,1,1,NA
2020,3,3,"07/02/2020",835,8,"Checkered White",1,1,1,"White species"
2020,3,3,"07/02/2020",835,8,"Clouded Sulphur",1,1,1,"Sulphur species"
2020,3,3,"07/02/2020",835,8,"Northwestern Fritillary",3,1,1,"Speyeria species"
2020,3,3,"07/02/2020",835,8,"Variegated Fritillary",8,1,1,NA
2020,3,3,"07/02/2020",835,8,"Western White",1,1,1,"White species"
2020,4,4,"07/16/2020",832,1,"Checkered White",1,1,1,"White species"
2020,4,4,"07/16/2020",832,1,"Clouded Sulphur",3,1,1,"Sulphur species"
2020,4,4,"07/16/2020",832,1,"Northwestern Fritillary",1,1,1,"Speyeria species"
2020,4,4,"07/16/2020",832,1,"Orange Sulphur",1,1,1,"Sulphur species"
2020,4,4,"07/16/2020",832,1,"Two-Tailed Swallowtail",1,1,1,NA
2020,4,4,"07/16/2020",832,1,"Variegated Fritillary",16,1,1,NA
2020,4,4,"07/16/2020",832,1,"Western White",2,1,1,"White species"
2020,4,4,"07/16/2020",832,1,"White species",1,0,1,NA
2020,4,4,"07/16/2020",824,2,"Cabbage White",3,1,1,"White species"
2020,4,4,"07/16/2020",824,2,"Clouded Sulphur",10,1,1,"Sulphur species"
2020,4,4,"07/16/2020",824,2,"Common Wood-Nymph",3,1,1,NA
2020,4,4,"07/16/2020",824,2,"Hackberry Emperor",2,1,1,NA
2020,4,4,"07/16/2020",824,2,"Northwestern Fritillary",9,1,1,"Speyeria species"
2020,4,4,"07/16/2020",824,2,"Orange Sulphur",7,1,1,"Sulphur species"
2020,4,4,"07/16/2020",824,2,"Speyeria species",2,0,1,NA
2020,4,4,"07/16/2020",824,2,"Variegated Fritillary",56,1,1,NA
2020,4,4,"07/16/2020",824,2,"Western White",1,1,1,"White species"
2020,4,4,"07/16/2020",824,2,"White species",1,0,1,NA
2020,4,4,"07/16/2020",808,3,"Checkered White",1,1,1,"White species"
2020,4,4,"07/16/2020",808,3,"Clouded Sulphur",9,1,1,"Sulphur species"
2020,4,4,"07/16/2020",808,3,"Common Checkered-Skipper",1,1,1,NA
2020,4,4,"07/16/2020",808,3,"Common Wood-Nymph",4,1,1,NA
2020,4,4,"07/16/2020",808,3,"Hackberry Emperor",1,1,1,NA
2020,4,4,"07/16/2020",808,3,"Melissa Blue",3,1,1,"Blue species"
2020,4,4,"07/16/2020",808,3,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,4,4,"07/16/2020",808,3,"Orange Sulphur",6,1,1,"Sulphur species"
2020,4,4,"07/16/2020",808,3,"Variegated Fritillary",6,1,1,NA
2020,4,4,"07/16/2020",808,3,"White species",1,0,1,NA
2020,4,4,"07/16/2020",747,4,"Common Wood-Nymph",2,1,1,NA
2020,4,4,"07/16/2020",747,4,"Dark Wood-Nymph",1,1,1,NA
2020,4,4,"07/16/2020",747,4,"Hackberry Emperor",1,1,1,NA
2020,4,4,"07/16/2020",747,4,"Northwestern Fritillary",2,1,1,"Speyeria species"
2020,4,4,"07/16/2020",747,4,"Variegated Fritillary",7,1,1,NA
2020,4,4,"07/16/2020",747,4,"White species",1,0,1,NA
2020,4,4,"07/17/2020",935,5,"Aphrodite Fritillary",1,1,1,"Speyeria species"
2020,4,4,"07/17/2020",935,5,"Cabbage White",1,1,1,"White species"
