"year","plot","date","time","session","camera_direction","image","species","count"
"2020","3","5/14",NA,"1","N",NA,"Mule Deer","2"
"2020","4","5/14",NA,"1","N",NA,"Mule Deer","4"
"2020","6","5/14",NA,"1","N",NA,"Mule Deer","10"
"2020","6","5/14",NA,"1","N",NA,"Unidentified Deer","3"
"2020","3","5/15",NA,"1","N",NA,"Mule Deer","6"
"2020","3","5/15",NA,"1","N",NA,"Unidentified Deer","14"
"2020","3","5/15",NA,"1","N",NA,"Elk","2"
"2020","5","5/15",NA,"1","N",NA,"Mule Deer","15"
"2020","5","5/15",NA,"1","N",NA,"Unidentified Deer","3"
"2020","5","5/15",NA,"1","N",NA,"Coyote","5"
"2020","6","5/15",NA,"1","N",NA,"Mule Deer","13"
"2020","6","5/15",NA,"1","N",NA,"Unidentified Deer","2"
"2020","6","5/15",NA,"1","N",NA,"Coyote","1"
"2020","6","5/15",NA,"1","N",NA,"Unidentified Mammal","1"
"2020","8","5/15",NA,"1","N",NA,"Elk","3"
"2020","8","5/15",NA,"1","N",NA,"Unidentified Ungulate","4"
"2020","8","5/16",NA,"1","N",NA,"Unidentified Deer","1"
"2020","8","5/16",NA,"1","N",NA,"Unidentified Ungulate","1"
"2020","8","5/16",NA,"1","N",NA,"Unidentified Mammal","2"
"2020","5","5/17",NA,"1","N",NA,"Mule Deer","31"
"2020","5","5/17",NA,"1","N",NA,"Unidentified Deer","53"
"2020","5","5/17",NA,"1","N",NA,"Elk","1"
"2020","5","5/17",NA,"1","N",NA,"Unidentified Ungulate","5"
"2020","5","5/17",NA,"1","N",NA,"Bobcat","1"
"2020","5","5/17",NA,"1","N",NA,"Unidentified Mammal","3"
"2020","6","5/17",NA,"1","N",NA,"Mule Deer","12"
"2020","6","5/17",NA,"1","N",NA,"Unidentified Deer","1"
"2020","6","5/19",NA,"1","N",NA,"Mountain Cottontail","3"
"2020","2","5/20",NA,"1","N",NA,"Unidentified Deer","1"
"2020","5","5/20",NA,"1","N",NA,"Unidentified Deer","1"
"2020","7","5/20",NA,"1","N",NA,"Mule Deer","6"
"2020","7","5/20",NA,"1","N",NA,"Unidentified Deer","2"
"2020","3","5/21",NA,"1","N",NA,"Unidentified Mammal","3"
"2020","7","5/23",NA,"1","N",NA,"Elk","2"
"2020","6","5/24",NA,"1","N",NA,"Bobcat","1"
"2020","6","5/25",NA,"1","N",NA,"Mule Deer","8"
"2020","6","5/25",NA,"1","N",NA,"Coyote","1"
"2020","5","5/26",NA,"1","N",NA,"Coyote","2"
"2020","7","5/26",NA,"1","N",NA,"Mule Deer","15"
"2020","7","5/26",NA,"1","N",NA,"Unidentified Deer","6"
"2020","8","5/26",NA,"1","N",NA,"Mule Deer","1"
"2020","4","5/27",NA,"1","N",NA,"Unidentified Deer","1"
"2020","6","5/27",NA,"2","E",NA,"Mule Deer","1"
"2020","6","5/27",NA,"2","E",NA,"Unidentified Deer","2"
"2020","6","5/27",NA,"2","E",NA,"Elk","6"
"2020","6","5/27",NA,"2","E",NA,"Unidentified Ungulate","2"
"2020","6","5/27",NA,"2","E",NA,"Unidentified Mammal","1"
"2020","2","5/28",NA,"2","E",NA,"Mule Deer","5"
"2020","5","5/28",NA,"2","E",NA,"Unidentified Ungulate","1"
"2020","1","5/29",NA,"2","E",NA,"Coyote","2"
"2020","3","5/29",NA,"2","E",NA,"Mule Deer","2"
"2020","3","5/29",NA,"2","E",NA,"Unidentified Deer","4"
"2020","3","5/29",NA,"2","E",NA,"Coyote","2"
"2020","2","5/30",NA,"2","E",NA,"Unidentified Ungulate","2"
"2020","2","5/30",NA,"2","E",NA,"Bobcat","1"
"2020","2","5/30",NA,"2","E",NA,"Unidentified Mammal","2"
"2020","3","5/30",NA,"2","E",NA,"Elk","2"
"2020","6","5/30",NA,"2","E",NA,"Mule Deer","1"
"2020","1","5/31",NA,"2","E",NA,"Coyote","1"
"2020","1","5/31",NA,"2","E",NA,"Mountain Cottontail","1"
