"year","plot","cheatgrass_plant","cheatgrass_litter","bare_ground","other_litter","other_plant"
2020,1,0.186,0.164,0.04,0.287,0.323
2020,2,0.016,0.015,0.019,0.292,0.658
2020,3,0.046,0.015,0.08,0.366,0.493
2020,4,0.201,0.111,0.136,0.102,0.45
2020,5,0.072,0.015,0.07,0.305,0.538
2020,6,0.105,0.03,0.145,0.25,0.47
2020,7,0.268,0.081,0.125,0.137,0.389
2020,8,0.183,0.052,0.134,0.249,0.382
2021,1,0.014,0.028,0.058,0.326,0.574
2021,2,0.005,0,0.135,0.281,0.579
2021,3,0.026,0,0.146,0.285,0.543
2021,4,0.01,0,0.256,0.316,0.418
2021,5,0.033,0.009,0.065,0.186,0.707
2021,6,0.061,0.018,0.122,0.182,0.617
2021,7,0.144,0.065,0.161,0.173,0.457
2021,8,0.096,0.048,0.135,0.269,0.452
