Common Name,Alpha Code
American Goldfinch,AGOL
American Robin,AMRO
Barn Swallow,BARS
Black-billed Magpie,BBMA
Black-capped Chickadee,BCCH
Blue Grosbeak,BLGR
Blue Jay,BLJA
Broad-tailed Hummingbird,BTHU
Brown Thrasher,BRTH
Brown-headed Cowbird,BHCO
Bullock's Oriole,BUOR
Cliff Swallow,CLSW
Common Grackle,COGR
European Starling,EUST
Gray Catbird,GRCA
House Finch,HOFI
Lark Sparrow,LASP
Lazuli Bunting,LAZB
Lesser Goldfinch,LEGO
Mourning Dove,MODO
Northern Flicker,NOFL
Passerine species,
Plumbeous Vireo,PLVI
Red-tailed Hawk,RTHA
Rock Wren,ROWR
Spotted Towhee,SPTO
Virginia's Warbler,VIWA
Western Kingbird,WEKI
Western Meadowlark,WEME
Western Wood-Pewee,WEWP
White-breasted Nuthatch,WBNU
Yellow-breasted Chat,YBCH
