Plot,Species,Survey 01,Survey 02,Survey 03,Survey 04,Survey 05,Survey 06,Survey 07,Survey 08
1,Black-billed Magpie,,,,,1,,,3
1,Spotted Towhee,1,,,1,,,,
1,Western Kingbird,,,,,,,1,
1,American Robin,,,1,,,,,
1,Brown Thrasher,,1,,,,,,
1,Spotted Towhee,,,,,,,1,
1,Lark Sparrow,2,,1,1,,,3,
1,American Goldfinch,,,,1,,,,
1,Western Meadowlark,,,1,,,,,
1,Bullock's Oriole,,1,,,,,1,
1,Common Grackle,,,,,,,1,
2,Broad-tailed Hummingbird,1,,1,1,1,1,1,1
2,Mourning Dove,,,1,1,,1,,
2,Black-billed Magpie,,,1,,,,,
2,Black-capped Chickadee,1,,,,,,,
2,American Robin,,,,1,,,,
2,Yellow-breasted Chat,1,1,2,1,1,1,,2
2,Spotted Towhee,,,1,1,,3,1,1
2,Lark Sparrow,,2,,1,,1,,3
2,Western Meadowlark,,2,,,,,,
2,Brown-headed Cowbird,1,,,,,,,
2,House Finch,,,,,,,,2
2,Bullock's Oriole,,,,1,,,,
2,Lazuli Bunting,,,,1,,,3,
2,Virginia's Warbler,,,,,,,,1
2,Blue Grosbeak,,,,,,,1,
3,Broad-tailed Hummingbird,,,1,,,,,
3,Mourning Dove,,,,,,1,,
3,Barn Swallow,1,,,,,,,
3,Lark Sparrow,1,1,,5,,2,3,2
3,Lesser Goldfinch,,1,,,,,,
3,Yellow-breasted Chat,1,,,,,,,
3,Spotted towhee,,,,,,,,1
3,Western Meadowlark,2,,,,,,,
3,Bullock's Oriole,,,,,,,2,
3,Lazuli Bunting,,,,,1,,,
4,Broad-tailed Hummingbird,1,1,1,,,,,
4,Mourning Dove,,,,,,,,3
4,Blue Jay,,1,,,,,,
4,Black-billed Magpie,,1,,,,,,
4,Rock Wren,,,1,,,,,
4,American Robin,,,,1,,,,
4,Spotted Towhee,,2,,,,,,
4,Lark Sparrow,,,2,,2,,4,
4,Western Meadowlark,1,,,1,,,,
4,Lazuli Bunting,1,1,1,1,,,1,
5,Mourning Dove,1,,,,,,,
5,Red-tailed Hawk,,,,,,,,1
5,Northern Flicker,,,,3,,,,
5,Western Kingbird,,,,,2,1,1,
5,Cliff Swallow,,1,,,,,,
5,American Robin,,,1,1,,,,
5,European Starling,,,,1,,,,
5,Gray Catbird,1,,,,,,,
5,Spotted Towhee,,,1,,,,,
5,Lark Sparrow,2,3,2,,,, ,
5,Yellow-breasted Chat,,,1,,,,,1
5,Western Meadowlark,,,,5,,,,
5,American Goldfinch,,1,,,,,,
5,Passerine species,,,,,,,1,
6,Mourning Dove,,,,,,1,,
6,Black-billed Magpie,1,,,5,,,1,
6,Cliff Swallow,,1,1,,,,,
6,Barn Swallow,,1,,,,,,
6,Lark Sparrow,1,3,1,3,,2,3,3
6,Spotted Towhee,1,1,,,1,1,,1
6,American Goldfinch,,1,,,,,,
6,Yellow-breasted Chat,,,,,,1,,
6,Western Meadowlark,1,,1,2,,,,
6,Lazuli Bunting,,1,,,,,,
6,Blue Grosbeak,,1,,,,,,
7,Broad-tailed Hummingbird,1,,,1,,,,
7,Cliff Swallow,,,1,,,,,
7,Spotted Towhee,1,2,2,2,,,,1
7,Lark Sparrow,,2,3,,1,,1,2
7,Passerine species,1,,,1,,1,1,1
8,Broad-tailed Hummingbird,,,,1,,,1,1
8,Western Wood-Pewee,,,1,,,,1,
8,Plumbeous Vireo,,1,,,,,,
8,White-breasted Nuthatch,,1,,,,,,
8,Spotted Towhee,,3,3,,,,1,
8,Lark Sparrow,,,2,3,,,3,1
8,Lazuli Bunting,,,1,1,,,,
