Common Name,Exact ID,Informative ID,Higher Taxon
Aphrodite Fritillary,1,1,Speyeria species
Arogos Skipper,1,1,
Blue species,0,1,
Butterfly species,0,0,
Cabbage White,1,1,White species
Checkered White,1,1,White species
Clouded Sulphur,1,1,Sulphur species
Common Checkered-Skipper,1,1,
Common Ringlet,1,1,
Common Wood-Nymph,1,1,
Dainty Sulphur,1,1,Sulphur species
Dark Wood-Nymph,1,1,
Elfin species,0,1,
Gorgone Checkerspot,1,1,
Gray Copper,1,1,
Gray Hairstreak,1,1,
Green Skipper,1,1,
Hackberry Emperor,1,1,
Large marble,1,1,
Melissa Blue,1,1,Blue species
Milbert's Tortoiseshell,1,1,
Monarch,1,1,
Northern Crescent,1,1,
Northwestern Fritillary,1,1,Speyeria species
Orange Sulphur,1,1,Sulphur species
Painted Lady,1,1,
Reakirt's Blue,1,1,Blue species
Red Admiral,1,1,
Silver-spotted Skipper,1,1,
Small butterfly species,0,0,
Small Wood Nymph,1,1,
Speyeria species,0,1,
Sulphur species,0,1,
Taxiles Skipper,1,1,
Two-Tailed Swallowtail,1,1,
Variegated Fritillary,1,1,
Western Tiger Swallowtail,1,1,
Western White,1,1,White species
White species,0,1,
