Plot,Species,Survey 01,Survey 02,Survey 03,Survey 04,Survey 05,Survey 06,Survey 07,Survey 08,Survey 09,Survey 10
1,Two-Tailed Swallowtail,,,,1,,,,,,
1,Cabbage White,,,,,,,,,,2
1,Checkered White,,,,1,,,,,,
1,Western White,,1,6,2,,,,,,
1,White species,,,,1,,,,,,2
1,Clouded Sulphur,3,,5,3,,,,1,,
1,Orange Sulphur,,,1,1,,,,1,,2
1,Dainty Sulphur,,,,,,,,1,1,8
1,Variegated Fritillary,,9,44,16,,,1,2,17,45
1,Northwestern Fritillary,,,2,1,,,,,,4
1,Monarch,,,,,,,,,1,
1,Red Admiral,,,,,,,,,,1
1,Painted Lady,,,,,,,,,1,
1,Common Checkered-Skipper,,,,,1,,,1,,
1,Butterfly species,,1,,,,,,,,
2,Checkered White,1,,6,,,,,,,
2,Western White,,3,,1,,,,,,
2,Cabbage White,,1,1,3,1,1,,2,25,6
2,White species,,,,1,,,1,,2,
2,Large marble,,,,,,,,1,2,
2,Clouded Sulphur,,1,4,10,1,,,2,1,1
2,Orange Sulphur,2,2,1,7,1,1,,,1,2
2,Dainty Sulphur,,,,,1,,,,,3
2,Sulphur species,,,,,3,1,,,,
2,Blue species,,,,,,,,,,3
2,Hackberry Emperor,,,,2,,,,,1,1
2,Elfin species,2,,,,,,,,,
2,Northern Crescent,,,,,,,,,,1
2,Gorgone Checkerspot,,,,,1,,,,,
2,Red Admiral,1,,,,,,,,,
2,Variegated Fritillary,5,21,70,56,3,,1,2,60,60
2,Northwestern Fritillary,,2,5,9,1,,,3,4,4
2,Speyeria species,,,,2,,,,,,
2,Red Admiral,,,,,,,,,2,
2,Common Wood-Nymph,,,2,3,,,,,,3
2,Silver-spotted Skipper,,,,,,,,1,,
2,Common Checkered-Skipper,,,,,,8,,,,
2,Taxiles Skipper,,,,,,,,1,,
2,Green Skipper,,,1,,,,,,,
2,Arogos Skipper,,,2,,,,,,,
3,Checkered White,1,,2,1,,,,,,
3,Western White,,1,,,,,,,,
3,Cabbage White,,,1,,,,,2,2,3
3,White species,,,,1,1,,,,,
3,Clouded Sulphur,,2,3,9,,,,,,2
3,Orange Sulphur,2,,1,6,2,,,3,1,4
3,Melissa Blue,,,,3,4,1,,,,1
3,Gray Hairstreak,,,,,,,,,1,
3,Variegated Fritillary,2,16,30,6,5,,,2,40,45
3,Northwestern Fritillary,,2,2,2,,,,1,1,3
3,Red Admiral,,,,,,,,,1,
3,Hackberry Emperor,,,,1,,,,,,
3,Milbert's Tortoiseshell,2,,,,,,,,,
3,Common Wood-Nymph,,,,4,2,,,,,3
3,Small Wood Nymph,,,,,,,,,1,1
3,Common Checkered-Skipper,,,,1,6,15,,2,,2
4,Cabbage White,,,,,,,,,,3
4,Western White,,,1,,,,,,,
4,Checkered White,,,1,,,,,,,
4,White species,1,,1,1,,,,,,2
4,Clouded Sulphur,,,,,,,,,1,
4,Orange Sulphur,,,,,,,,,,1
4,Dainty Sulphur,,,,,,,,,,1
4,Variegated Fritillary,1,33,14,7,,,,1,60,20
4,Northwestern Fritillary,,3,4,2,,,,,,1
4,Common Ringlet,1,,,,,,,,,
4,Hackberry Emperor,,,,1,,,,,,
4,Common Wood-Nymph,,,2,2,,,,,,
4,Dark Wood-Nymph,,,,1,,,,,,
4,Small butterfly species,,,,,,1,,,,
5,Western White,,4,,2,1,,,,,
5,Checkered White,1,,,,,,,,,
5,White species,,,5,1,1,,1,,,
5,Cabbage White,,,,1,1,,,,2,2
5,Clouded Sulphur,,,,,,1,,,,
5,Orange Sulphur,1,1,1,,2,,,1,,
5,Dainty Sulphur,,,,,,1,,,,
5,Gray Copper,,,,,1,,,,,1
5,Variegated Fritillary,1,17,26,11,3,1,,3,80,39
5,Northwestern Fritillary,,1,3,,,,,1,5,4
5,Aphrodite Fritillary,,,,1,,,,,,
5,Monarch,,,,,,,,,,1
