Date,Session 2020,Session 2021,Order
5/14,1,1,1
5/15,1,1,2
5/16,1,1,3
5/17,1,1,4
5/18,1,1,5
5/19,1,1,6
5/20,1,1,7
5/21,1,1,8
5/22,1,1,9
5/23,1,1,10
5/24,1,1,11
5/25,1,1,12
5/26,1,1,13
5/27,1,1,14
5/27,2,1,15
5/28,2,1,16
5/29,2,1,17
5/30,2,1,18
5/31,2,1,19
6/1,2,2,20
6/2,2,2,21
6/3,2,2,22
6/4,2,2,23
6/5,2,2,24
6/6,2,2,25
6/7,2,2,26
6/8,2,2,27
6/9,2,2,28
6/10,2,2,29
6/11,2,2,30
6/12,2,2,31
6/13,2,2,32
6/14,2,2,33
6/14,3,2,34
6/15,3,3,35
6/16,3,3,36
6/17,3,3,37
6/18,3,3,38
6/19,3,3,39
6/20,3,3,40
6/21,3,3,41
6/22,3,3,42
6/23,3,3,43
6/24,3,3,44
6/24,4,3,45
6/25,4,3,46
6/26,4,3,47
6/27,4,3,48
6/28,4,3,49
6/29,4,3,50
6/30,4,4,51
7/1,4,4,52
7/2,4,4,53
7/3,4,4,54
7/4,4,4,55
7/5,4,4,56
7/6,4,4,57
7/7,4,4,58
7/8,4,4,59
7/9,4,4,60
7/10,4,4,61
7/11,4,4,62
7/11,5,4,63
7/12,5,4,64
7/13,5,4,65
7/14,5,5,66
7/15,5,5,67
7/16,5,5,68
7/17,5,5,69
7/18,5,5,70
7/18,6,5,71
7/19,6,5,72
7/20,6,5,73
7/21,6,5,74
7/22,6,5,75
7/23,6,5,76
7/24,6,5,77
7/24,7,5,78
7/25,7,5,79
7/26,7,5,80
7/27,7,6,81
7/28,7,6,82
7/29,7,6,83
7/30,7,6,84
7/31,7,6,85
8/1,7,6,86
8/2,7,7,87
8/3,7,7,88
8/4,7,7,89
8/5,7,7,90
8/6,7,7,91
8/7,7,7,92
8/7,8,8,93
8/8,8,8,94
8/9,8,8,95
8/10,8,8,96
8/11,8,8,97
8/12,8,8,98
8/13,8,8,99
