Session,Date,Time Code
1,5/14,1
1,5/15,2
1,5/16,3
1,5/17,4
1,5/18,5
1,5/19,6
1,5/20,7
1,5/21,8
1,5/22,9
1,5/23,10
1,5/24,11
1,5/25,12
1,5/26,13
1,5/27,14
2,5/27,15
2,5/28,16
2,5/29,17
2,5/30,18
2,5/31,19
2,6/1,20
2,6/2,21
2,6/3,22
2,6/4,23
2,6/5,24
2,6/6,25
2,6/7,26
2,6/8,27
2,6/9,28
2,6/10,29
2,6/11,30
2,6/12,31
2,6/13,32
2,6/14,33
3,6/14,34
3,6/15,35
3,6/16,36
3,6/17,37
3,6/18,38
3,6/19,39
3,6/20,40
3,6/21,41
3,6/22,42
3,6/23,43
3,6/24,44
4,6/24,45
4,6/25,46
4,6/26,47
4,6/27,48
4,6/28,49
4,6/29,50
4,6/30,51
4,7/1,52
4,7/2,53
4,7/3,54
4,7/4,55
4,7/5,56
4,7/6,57
4,7/7,58
4,7/8,59
4,7/9,60
4,7/10,61
4,7/11,62
5,7/11,63
5,7/12,64
5,7/13,65
5,7/14,66
5,7/15,67
5,7/16,68
5,7/17,69
5,7/18,70
6,7/18,71
6,7/19,72
6,7/20,73
6,7/21,74
6,7/22,75
6,7/23,76
6,7/24,77
7,7/24,78
7,7/25,79
7,7/26,80
7,7/27,81
7,7/28,82
7,7/29,83
7,7/30,84
7,7/31,85
7,8/1,86
7,8/2,87
7,8/3,88
7,8/4,89
7,8/5,90
7,8/6,91
7,8/7,92
8,8/7,93
8,8/8,94
8,8/9,95
8,8/10,96
8,8/11,97
8,8/12,98
8,8/13,99
