"Plot","Image","Mule.Deer","White.Tailed.Deer","Unidentified.Deer","Elk","Unidentified.Ungulate","Coyote","Bobcat","Mountain.Lion","Cottontail","Striped.Skunk","Bat","Unidentified.Mammal","Date","Time"
1,1,,,,2,,,,,,,,,"2021/05/15","0612"
1,2,,,,1,,,,,,,,,"2021/05/15","0612"
1,3,1,,,,,,,,,,,,"2021/05/16","2005"
1,4,1,,,,,,,,,,,,"2021/05/16","2006"
1,5,2,,,,,,,,,,,,"2021/05/16","2006"
1,6,,,,,,,,,,,,,"2021/05/17","0543"
1,7,,,,,,,,,,,,,"2021/05/17","0544"
1,8,,,,,,,,,,,,,"2021/05/17","0544"
1,9,,,,,,,,,,,,,"2021/05/17","0544"
1,10,,,,2,,,,,,,,,"2021/05/17","0544"
1,11,,,,3,,,,,,,,,"2021/05/17","0545"
1,12,,,,1,,,,,,,,,"2021/05/17","0545"
1,13,,,,1,,,,,,,,,"2021/05/17","0551"
1,14,,,,,,,,,,,,,"2021/05/23","1302"
1,15,1,,,,,,,,,,,,"2021/06/03","2219"
1,16,,,,,,,,,,,,,"2021/06/09","2251"
1,17,1,,,,,,,,,,,,"2021/06/10","0235"
1,18,1,,,,,,,,,,,,"2021/06/13","0757"
1,19,,1,,,,,,,,,,,"2021/06/15","0532"
1,20,,1,,,,,,,,,,,"2021/06/15","0533"
1,21,,1,,,,,,,,,,,"2021/06/15","0533"
1,22,,,,,,,,,,,,,"2021/06/15","2139"
1,23,,,,,,,,,,,,,"2021/06/15","2140"
1,24,,,,,,,,,,,,,"2021/06/16","0453"
1,25,,,,,,1,,,,,,,"2021/06/20","0406"
1,26,,,,,,,,,,,,,"2021/06/25","2248"
1,27,,,,,,,,,,,,,"2021/06/26","2332"
1,28,1,,,,,,,,,,,,"2021/06/27","0520"
1,29,3,,,,,,,,,,,,"2021/06/27","0520"
1,30,1,,,,,,,,,,,,"2021/06/27","0520"
1,31,,,,,,,,,,,,,"2021/06/27","2230"
1,32,,,1,,,,,,,,,,"2021/07/08","0247"
1,33,,,,,1,,,,,,,,"2021/07/11","0428"
1,34,,,,,,,1,,,,,,"2021/07/14","0557"
1,35,,,,,1,,,,,,,,"2021/07/15","0143"
1,36,,,,,,,,,,,,,"2021/07/24","1056"
1,37,1,,,,,,,,,,,,"2021/07/24","2109"
1,38,,,,,,,,,,,,,"2021/07/25","0321"
1,39,,,,,1,,,,,,,,"2021/07/25","0326"
1,40,,,,,1,,,,,,,,"2021/07/25","0327"
1,41,,,,,,,,,,,,,"2021/07/26","1249"
1,42,,,,,,,,,,,,,"2021/08/06","1638"
