"column","type"
"year","metadata"
"plot","metadata"
"mammal_count","response"
"mammal_species","response"
"bird_count","response"
"bird_species","response"
"butterfly_count","response"
"butterfly_species","response"
"cheatgrass_plant","predictor"
"cheatgrass_litter","predictor"
"bare_ground","predictor"
"other_litter","predictor"
"other_plant","predictor"
"total_woody_cover","predictor"
"living_woody_cover","predictor"
"distance_to_highway","predictor"
"slope","predictor"
"year_category","category"
"will_burn","category"
"burned","category"
